編號,菜品名稱,單位,價格
1341,涼瓜(切料),斤,1
135,涼瓜肉,斤,1
136,合掌瓜,斤,1
137,合掌瓜肉,斤,1
1371,合掌瓜肉(切料),斤,1
138,南瓜,斤,1
139,南瓜肉,斤,1
1391,南瓜肉(切料),斤,1
140,勝瓜,斤,1
141,勝瓜肉,斤,1
1411,勝瓜肉(切料),斤,1
142,老黃瓜,斤,1
142-A,老黃瓜肉(有皮),斤,1
1421,老黃瓜(切料),斤,1
142a,老黃瓜肉,斤,1
143,青木瓜,斤,1
144,青木瓜肉,斤,1
1441,青木瓜肉(切料),斤,1
145,翠肉瓜,斤,1
1451,翠肉瓜(切料),斤,1
146,青瓜,斤,1
147,有刺青瓜,斤,1
1471,有刺青瓜肉,斤,1
148,溫室青瓜,斤,1
148a,溫室青瓜(大),斤,1
149,蕃茄,斤,1
1491,蕃茄(切料),斤,1
150,車厘茄,斤,1
150A,車厘茄 (橙色),斤,1
150a,黃車尼茄,斤,1
151,大蕃茄,斤,1
152,馬蹄,斤,1
153,馬蹄肉,斤,1
153-A,珍珠馬碲,包,1
1531,馬蹄肉(切料),斤,1
154,熟木瓜,個,1
155,(大陸)秋葵,包,1
156,熟木瓜肉,斤,1
157,意大利青瓜,斤,1
158,意大利黃瓜,斤,1
159,大丁苦瓜,斤,1
1591,大丁苦瓜肉,斤,1
160,手指茄子,斤,1
161,紫蕃薯肉,斤,1
1611,紫蕃薯肉(切料),斤,1
162,冬瓜環,斤,1
163,日本南瓜,斤,1
163A,日本南瓜肉,斤,1
164,芋頭仔,斤,1
165,(橙)車厘茄,斤,1
166,粟米肉,條,1
167,串番茄,盒,1
168,蕃薯苗,斤,1
169,蕃茄仔,斤,1
170,新鮮花椒,包,1
171,新薯,斤,1
172,冬瓜仔,斤,1
173,南瓜仔,斤,1
174,白茄子,斤,1
175,水瓜,斤,1
176,紫心蕃薯肉,斤,1
177,泥紅卜,斤,1
178,青南瓜,斤,1
179,龍鬚豆,斤,1
180,半殼板粟,斤,1
181,粟米鬚,斤,1
182,烤夫,斤,1
183,馬蹄筍,斤,1
184,茭白筍,斤,1
185,竹芋,斤,1
201,西椒,斤,1
2011,西椒(切料),斤,1
202,青尖椒,斤,1
203,紅椒,斤,1
2031,紅椒(切料),斤,1
204,指天椒,斤,1
2041,指天椒(切料),斤,1
204a,青指天椒,斤,1
205,紅圓椒,斤,1
2051,紅圓椒(切料),斤,1
206,黃圓椒,斤,1
2061,黃圓椒(切料),斤,1
2062,泡椒,包,1
207,薑,斤,1
208,薑肉,斤,1
2081,薑肉(切料),斤,1
209,老薑,斤,1
210,南薑,斤,1
211,蒜頭,斤,1
211A,泰國蒜頭,斤,1
212,蒜肉,斤,1
213,蒜茸,斤,1
214,青蒜,斤,1
215,干蔥,斤,1
215A,泰國乾蔥頭,斤,1
216,干蔥肉,斤,1
217,干蔥茸,斤,1
218,京蔥,斤,1
2181,京蔥肉,斤,1
219,洋蔥,斤,1
220,洋蔥肉,斤,1
2201,洋蔥肉(切料),斤,1
221,紫洋蔥,斤,1
222,芫茜,斤,1
222a,泰國莞茜,斤,1
223,番茜,斤,1
224,蔥肉,斤,1
2241,蔥肉(切料),斤,1
225,螺絲椒,斤,1
226,青指天椒,斤,1
227,沙薑,斤,1
228,薑茸,斤,1
229,紅頭蔥肉,斤,1
230,紫洋蔥肉,斤,1
231,獨子蒜,斤,1
232,濕炸枝竹,包,1
233,冰豆腐,包,1
234,菜乾,斤,1
235,冬菜,斤,1
236,(泰國)秋葵,包,1
237,天山雪蓮,斤,1
238,涼粉,斤,1
239,百里香,扎,1
240,露絲馬利,扎,1
241,子薑,斤,1
242,食用花,盒,1
243,班蘭葉,包,1
244,泰國南薑,斤,1
245,羽衣甘蘭,斤,1
246,去定指天椒,斤,1
246a,去定青指天椒,斤,1
247,回香草,斤,1
248,湖南青辣椒,斤,1
248a,綠線椒,斤,1
249,海花紅椒,斤,1
250,黃薑,斤,1
250A,黃薑(泰國),斤,1
251,刁草,兩,1
252,雲南椒,斤,1
253,意番茜,兩,1
